transcript_id,SRX2000912,SRX2000913,SRX2000916,SRX2000917
JVCI|rna_AFUA_3G00570-1,5,2,9,4
JVCI|rna_AFUA_3G00560-1,78,50,164,176
JVCI|rna_AFUA_3G00580-1,8,5,8,9
JVCI|rna_AFUA_3G00530-1,0,0,0,10
JVCI|rna_AFUA_3G00520-1,378,338,376,335
JVCI|rna_AFUA_3G00590-1,18,16,18,16
JVCI|rna_AFUA_3G00600-1,4,0,8,6
MSTRG.3229.1,26,23,4,0
JVCI|rna_AFUA_3G00610-1,3,4,0,0
JVCI|rna_AFUA_3G00620-1,0,3,3,3
JVCI|rna_AFUA_3G00630-1,237,189,139,152
MSTRG.3236.1,174,142,152,64
JVCI|rna_AFUA_3G00690-1,1,0,0,0
MSTRG.3236.3,104,106,0,114
JVCI|rna_AFUA_3G00640-1,0,0,13,25
MSTRG.3232.2,136,134,8,3
JVCI|rna_AFUA_3G00650-1,29,32,9,16
JVCI|rna_AFUA_3G00660-1,504,446,625,614
MSTRG.3233.1,491,353,443,669
JVCI|rna_AFUA_3G00670-1,228,226,353,253
JVCI|rna_AFUA_3G00680-1,83,187,107,0
JVCI|rna_AFUA_3G00700-1,79,74,44,56
JVCI|rna_AFUA_3G00710-1,601,546,958,971
MSTRG.3235.1,46,50,253,242
JVCI|rna_AFUA_3G00780-1,7,12,23,24
JVCI|rna_AFUA_3G00740-1,0,0,0,0
JVCI|rna_AFUA_3G00720-1,138,139,93,114
MSTRG.3239.1,318,250,232,255
JVCI|rna_AFUA_3G00730-1,75,156,53,37
JVCI|rna_AFUA_3G00750-1,6,6,5,7
JVCI|rna_AFUA_3G00790-1,24,24,19,23
JVCI|rna_AFUA_3G00800-1,34,42,38,48
JVCI|rna_AFUA_3G00760-1,6,5,5,2
JVCI|rna_AFUA_3G00765-1,57,53,38,32
JVCI|rna_AFUA_3G00770-1,88,98,42,53
MSTRG.3243.1,47,70,36,51
JVCI|rna_AFUA_3G00810-1,51,22,32,38
JVCI|rna_AFUA_3G00820-1,102,93,50,45
MSTRG.3245.1,37,35,43,46
JVCI|rna_AFUA_3G00830-1,31,35,16,16
JVCI|rna_AFUA_3G00865-1,26,20,12,16
JVCI|rna_AFUA_3G00870-1,398,354,331,315
JVCI|rna_AFUA_3G00850-1,0,0,0,0
MSTRG.3249.5,0,0,0,129
MSTRG.3249.6,0,0,142,87
MSTRG.3246.1,545,561,786,716
JVCI|rna_AFUA_3G00840-1,387,392,306,432
MSTRG.3249.3,398,440,358,257
MSTRG.3249.2,155,15,0,36
MSTRG.3249.1,104,136,56,10
MSTRG.3249.7,30,0,0,0
MSTRG.3250.1,7605,11879,6688,4962
MSTRG.3250.2,1595,1082,3147,5208
JVCI|rna_AFUA_3G00880-1,7693,2143,0,0
JVCI|rna_AFUA_3G00900-1,2336,2406,3415,3526
MSTRG.3252.2,138,179,55,21
MSTRG.3252.1,73,0,0,56
MSTRG.3253.2,0,0,0,537
JVCI|rna_AFUA_3G00910-1,1698,2031,1754,1252
JVCI|rna_AFUA_3G00930-1,0,44,0,11
JVCI|rna_AFUA_3G00920-1,13,11,19,11
MSTRG.3256.1,153,98,107,106
MSTRG.3254.1,50,56,49,63
JVCI|rna_AFUA_3G00940-1,156,0,290,260
MSTRG.3257.2,12,130,13,17
JVCI|rna_AFUA_3G00950-1,10,5,5,5
JVCI|rna_AFUA_3G00960-1,340,332,430,458
JVCI|rna_AFUA_3G00970-1,12,7,5,4
JVCI|rna_AFUA_3G00980-1,2,2,0,0
MSTRG.3262.3,0,29,22,22
JVCI|rna_AFUA_3G01020-1,0,0,27,0
MSTRG.3262.1,57,29,0,5
JVCI|rna_AFUA_3G01002-1,77,78,18,28
JVCI|rna_AFUA_3G01010-1,81,65,40,42
MSTRG.3261.1,137,147,165,181
MSTRG.3260.1,38,38,17,19
MSTRG.3263.1,2596,2484,3807,3770
JVCI|rna_AFUA_3G01030-1,0,0,0,0
MSTRG.3264.1,696,725,932,920
JVCI|rna_AFUA_3G01060-1,8,0,0,0
MSTRG.3269.2,17,17,34,56
MSTRG.3265.1,0,5,4,5
JVCI|rna_AFUA_3G01040-1,14,16,9,14
JVCI|rna_AFUA_3G01050-1,284,303,267,233
JVCI|rna_AFUA_3G01070-1,193,166,453,459
JVCI|rna_AFUA_3G01100-1,0,0,0,0
JVCI|rna_AFUA_3G01080-1,0,0,0,18
MSTRG.3270.1,471,467,221,235
JVCI|rna_AFUA_3G01090-1,8,9,54,20
JVCI|rna_AFUA_3G01120-1,28,31,21,28
JVCI|rna_AFUA_3G01130-1,10,11,3,5
MSTRG.3274.1,1254,1249,1043,988
JVCI|rna_AFUA_3G01110-1,67,0,7,0
MSTRG.3273.2,0,0,0,10
JVCI|rna_AFUA_3G01140-1,9,10,5,4
MSTRG.3273.1,2,9,8,3
JVCI|rna_AFUA_3G01150-1,1530,1433,2898,2756
MSTRG.3275.1,55,50,452,494
MSTRG.3278.1,231,141,285,336
MSTRG.3278.2,48,171,0,0
MSTRG.3277.1,1,0,44,31
JVCI|rna_AFUA_3G01160-1,2,3,7,7
JVCI|rna_AFUA_3G01170-1,3,5,6,0
MSTRG.3279.1,33,18,96,99
JVCI|rna_AFUA_3G01180-1,10,6,23,14
MSTRG.3281.2,425,74,122,192
MSTRG.3281.1,242,640,332,316
JVCI|rna_AFUA_3G01190-1,2,3,3,2
MSTRG.3282.1,347,337,304,488
MSTRG.3282.2,136,77,440,179
JVCI|rna_AFUA_3G01196-1,1,1,1,1
JVCI|rna_AFUA_3G01200-1,0,102,0,90
MSTRG.3283.1,570,446,146,81
JVCI|rna_AFUA_3G01210-1,2,32,1,1
JVCI|rna_AFUA_3G01230-1,0,0,0,0
JVCI|rna_AFUA_3G01220-1,116,67,0,0
MSTRG.3289.2,6,42,10,8
MSTRG.3290.1,79,61,40,82
MSTRG.3290.2,11,34,46,6
JVCI|rna_AFUA_3G01240-1,11,15,10,7
JVCI|rna_AFUA_3G01250-1,12,11,17,16
JVCI|rna_AFUA_3G01260-1,15,14,23,25
JVCI|rna_AFUA_3G01270-1,22,16,13,8
MSTRG.3287.1,5,4,7,5
JVCI|rna_AFUA_3G01280-1,77,87,84,89
JVCI|rna_AFUA_3G01290-1,163,170,96,112
JVCI|rna_AFUA_3G01310-1,2,3,0,0
MSTRG.3291.2,0,0,11,9
JVCI|rna_AFUA_3G01300-1,0,0,0,0
MSTRG.3291.1,56,61,29,36
JVCI|rna_AFUA_3G01340-1,28,28,24,33
MSTRG.3295.1,22,20,49,33
JVCI|rna_AFUA_3G01320-1,175,131,85,93
MSTRG.3294.1,124,141,129,79
JVCI|rna_AFUA_3G01330-1,160,97,0,56
JVCI|rna_AFUA_3G01370-1,6,7,0,4
JVCI|rna_AFUA_3G01350-1,0,0,0,0
MSTRG.3297.2,0,30,0,0
MSTRG.3298.2,215,0,159,0
MSTRG.3298.1,41,196,40,240
MSTRG.3298.3,10,77,0,0
JVCI|rna_AFUA_3G01360-1,101,72,59,64
MSTRG.3296.1,50,41,0,18
MSTRG.3301.2,0,4,0,15
JVCI|rna_AFUA_3G01430-1,0,0,0,0
JVCI|rna_AFUA_3G01400-1,960,1073,338,328
JVCI|rna_AFUA_3G01410-1,57,57,45,60
JVCI|rna_AFUA_3G01420-1,26,35,22,24
MSTRG.3301.1,306,208,81,77
MSTRG.3302.1,133,45,224,0
MSTRG.3302.2,109,96,0,11
JVCI|rna_AFUA_3G01440-1,279,500,200,452
JVCI|rna_AFUA_3G01450-1,408,362,305,301
JVCI|rna_AFUA_3G01460-1,73,39,42,45
MSTRG.3304.2,0,0,79,0
JVCI|rna_AFUA_3G01470-1,0,0,0,0
MSTRG.3304.1,7,5,56,132
JVCI|rna_AFUA_3G01480-1,21,18,38,35
MSTRG.3306.2,0,0,0,0
MSTRG.3306.1,115,141,119,123
JVCI|rna_AFUA_3G01490-1,27,2,9,17
MSTRG.3308.3,0,252,0,0
JVCI|rna_AFUA_3G01500-1,653,521,742,773
MSTRG.3308.2,440,175,182,156
MSTRG.3309.1,22,31,47,20
MSTRG.3309.2,29,0,0,17
JVCI|rna_AFUA_3G01510-1,63,65,14,37
JVCI|rna_AFUA_3G01520-1,19,22,11,9
JVCI|rna_AFUA_3G01530-1,89,82,130,125
JVCI|rna_AFUA_3G01540-1,0,0,0,0
MSTRG.3311.1,102,107,11,12
JVCI|rna_AFUA_3G01560-1,228,212,185,191
JVCI|rna_AFUA_3G01565-1,0,0,0,0
JVCI|rna_AFUA_3G01580-1,847,1057,2663,157
MSTRG.3313.2,842,590,985,3353
MSTRG.3313.3,7,7,4,21
JVCI|rna_AFUA_3G01590-1,0,0,0,0
MSTRG.3317.1,428,140,669,563
MSTRG.3317.2,38,451,217,230
MSTRG.3317.3,180,69,53,129
JVCI|rna_AFUA_3G01610-1,56,55,63,59
MSTRG.3316.1,38,31,12,103
MSTRG.3316.2,117,94,189,184
JVCI|rna_AFUA_3G01600-1,299,276,95,0
JVCI|rna_AFUA_3G01620-1,7,4,5,11
JVCI|rna_AFUA_3G01640-1,39,38,36,46
JVCI|rna_AFUA_3G01650-1,0,0,0,0
MSTRG.3318.1,28,17,198,221
JVCI|rna_AFUA_3G01660-1,2,0,0,3
MSTRG.3322.2,0,6,0,0
JVCI|rna_AFUA_3G01670-1,32,28,18,12
JVCI|rna_AFUA_3G01690-1,3,7,2,0
JVCI|rna_AFUA_3G01700-1,5,6,0,0
JVCI|rna_AFUA_3G01710-1,32,23,18,12
JVCI|rna_AFUA_3G01720-1,0,0,0,0
JVCI|rna_AFUA_3G01730-1,0,0,0,0
MSTRG.3321.1,4,13,0,0
JVCI|rna_AFUA_3G01750-1,7,64,17,19
MSTRG.3325.2,77,0,0,0
JVCI|rna_AFUA_3G01760-1,202,186,107,120
JVCI|rna_AFUA_3G01770-1,0,23,34,0
MSTRG.3324.2,58,40,7,62
JVCI|rna_AFUA_3G01780-1,14,33,17,17
JVCI|rna_AFUA_3G01790-1,802,741,340,354
JVCI|rna_AFUA_3G01800-1,69,70,54,63
JVCI|rna_AFUA_3G01810-1,15,12,9,10
MSTRG.3330.2,0,0,3,0
JVCI|rna_AFUA_3G01872-1,30,36,51,54
JVCI|rna_AFUA_3G01880-1,16,17,24,11
JVCI|rna_AFUA_3G01860-1,0,96,0,0
JVCI|rna_AFUA_3G01820-1,8,8,8,5
JVCI|rna_AFUA_3G01840-1,91,69,100,110
JVCI|rna_AFUA_3G01850-1,67,54,124,123
MSTRG.3329.1,258,154,192,206
JVCI|rna_AFUA_3G01910-1,22,20,43,47
JVCI|rna_AFUA_3G01890-1,0,3,2,0
JVCI|rna_AFUA_3G01900-1,0,0,0,0
MSTRG.3331.1,586,588,330,358
JVCI|rna_AFUA_3G01930-1,11,10,14,15
JVCI|rna_AFUA_3G01940-1,70,57,80,73
JVCI|rna_AFUA_3G01950-1,10,7,12,9
MSTRG.3336.2,0,85,107,82
MSTRG.3335.1,6639,5553,7218,6654
JVCI|rna_AFUA_3G01920-1,270,155,202,177
JVCI|rna_AFUA_3G01960-1,76,79,61,50
JVCI|rna_AFUA_3G02010-1,30,45,13,21
MSTRG.3340.2,92,85,174,174
JVCI|rna_AFUA_3G02020-1,30,33,60,51
MSTRG.3342.2,0,0,0,44
JVCI|rna_AFUA_3G02030-1,13,12,69,15
JVCI|rna_AFUA_3G01970-1,0,0,1,0
MSTRG.3344.3,0,63,0,0
JVCI|rna_AFUA_3G02005-1,0,1,0,0
MSTRG.3343.1,129,122,124,126
JVCI|rna_AFUA_3G01980-1,9,27,268,122
MSTRG.3344.2,226,188,0,159
MSTRG.3345.1,8,3,10,6
MSTRG.3346.1,10,12,12,6
MSTRG.3346.2,35,19,32,24
JVCI|rna_AFUA_3G01990-1,5,0,0,8
MSTRG.3347.1,29,14,18,18
JVCI|rna_AFUA_3G02000-1,101,0,0,0
MSTRG.3338.3,90,32,59,0
MSTRG.3338.2,10,193,42,126
JVCI|rna_AFUA_3G02040-1,0,11,25,118
JVCI|rna_AFUA_3G02060-1,0,0,19,0
MSTRG.3348.2,7,0,81,0
JVCI|rna_AFUA_3G02050-1,174,152,63,81
MSTRG.3353.1,196,188,302,382
JVCI|rna_AFUA_3G02090-1,2,1,0,1
JVCI|rna_AFUA_3G02070-1,221,249,186,219
JVCI|rna_AFUA_3G02080-1,214,186,115,97
JVCI|rna_AFUA_3G02100-1,25,19,22,24
JVCI|rna_AFUA_3G02130-1,4,4,1,1
JVCI|rna_AFUA_3G02160-1,0,4,0,0
JVCI|rna_AFUA_3G02140-1,16,16,10,9
MSTRG.3355.2,3,0,10,6
JVCI|rna_AFUA_3G02147-1,1,0,1,1
MSTRG.3351.1,211,188,470,344
JVCI|rna_AFUA_3G02175-1,197,174,135,264
JVCI|rna_AFUA_3G02180-1,1,3,4,0
JVCI|rna_AFUA_3G02190-1,57,54,31,20
JVCI|rna_AFUA_3G02200-1,55,51,40,25
JVCI|rna_AFUA_3G02230-1,39,25,21,20
JVCI|rna_AFUA_3G02210-1,8,11,8,9
JVCI|rna_AFUA_3G02213-1,20,13,17,10
JVCI|rna_AFUA_3G02216-1,33,23,36,49
MSTRG.3360.1,413,357,195,375
JVCI|rna_AFUA_3G02220-1,78,100,201,3
JVCI|rna_AFUA_3G02260-1,7,16,5,0
JVCI|rna_AFUA_3G02240-1,0,0,0,0
JVCI|rna_AFUA_3G02250-1,0,3,0,2
MSTRG.3363.1,101,109,139,105
MSTRG.3363.3,34,32,43,84
JVCI|rna_AFUA_3G02253-1,580,479,731,760
MSTRG.3361.1,34,37,65,70
JVCI|rna_AFUA_3G02257-1,102,107,0,0
MSTRG.3362.1,27,19,4,0
JVCI|rna_AFUA_3G02280-1,38,99,53,36
MSTRG.3366.2,53,0,0,0
JVCI|rna_AFUA_3G02270-1,3456,3503,2409,2417
JVCI|rna_AFUA_3G02290-1,34,33,18,17
JVCI|rna_AFUA_3G02300-1,16,17,5,5
JVCI|rna_AFUA_3G02315-1,0,0,0,0
MSTRG.3371.4,0,7,0,0
JVCI|rna_AFUA_3G02310-1,12,18,13,9
MSTRG.3371.1,153,131,41,0
MSTRG.3371.2,68,204,229,0
JVCI|rna_AFUA_3G02320-1,180,24,8,180
JVCI|rna_AFUA_3G02330-1,615,702,420,464
JVCI|rna_AFUA_3G02360-1,52,41,43,67
JVCI|rna_AFUA_3G02340-1,0,193,0,154
JVCI|rna_AFUA_3G02370-1,0,0,0,0
MSTRG.3369.1,526,340,477,297
MSTRG.3370.1,565,497,553,562
JVCI|rna_AFUA_3G02380-1,587,585,432,439
MSTRG.3375.1,6,15,137,154
JVCI|rna_AFUA_3G02430-1,22,0,0,0
MSTRG.3375.3,4,16,67,78
JVCI|rna_AFUA_3G02450-1,78,92,89,78
JVCI|rna_AFUA_3G02390-1,101,90,36,48
MSTRG.3378.1,324,120,261,239
MSTRG.3378.2,229,400,242,244
JVCI|rna_AFUA_3G02400-1,7,6,20,15
JVCI|rna_AFUA_3G02460-1,12,8,0,7
JVCI|rna_AFUA_3G02470-1,5,8,2,5
JVCI|rna_AFUA_3G02500-1,14,16,5,5
JVCI|rna_AFUA_3G02480-1,78,66,80,66
MSTRG.3382.1,0,12,0,0
JVCI|rna_AFUA_3G02530-1,0,0,0,0
MSTRG.3382.2,112,95,39,188
MSTRG.3382.3,466,286,343,73
JVCI|rna_AFUA_3G02520-1,118,253,289,369
JVCI|rna_AFUA_3G02540-1,413,334,0,0
JVCI|rna_AFUA_3G02670-1,0,0,0,0
MSTRG.3380.1,142,183,99,96
MSTRG.3381.2,0,14,0,21
MSTRG.3381.3,0,0,11,0
JVCI|rna_AFUA_3G02680-1,40,14,16,7
JVCI|rna_AFUA_3G02685-1,33,28,31,34
MSTRG.3384.2,0,4,0,0
JVCI|rna_AFUA_3G02690-1,18,13,18,15
JVCI|rna_AFUA_3G02700-1,47,55,11,13
JVCI|rna_AFUA_3G02710-1,3,4,0,0
JVCI|rna_AFUA_3G02720-1,10,11,3,3
JVCI|rna_AFUA_3G02740-1,25,28,29,30
JVCI|rna_AFUA_3G02750-1,37,46,11,10
JVCI|rna_AFUA_3G02760-1,16,25,25,22
MSTRG.3385.1,42,26,5,3
MSTRG.3387.1,19,14,6,5
JVCI|rna_AFUA_3G02785-1,2,0,0,2
JVCI|rna_AFUA_3G02770-1,48,37,43,48
MSTRG.3389.1,5,5,0,1
JVCI|rna_AFUA_3G02780-1,46,48,11,10
JVCI|rna_AFUA_3G02795-1,1,0,1,0
JVCI|rna_AFUA_3G02800-1,0,4,3,0
MSTRG.3390.1,39,54,21,12
MSTRG.3390.2,8,0,0,0
JVCI|rna_AFUA_3G02850-1,6,4,6,0
JVCI|rna_AFUA_3G02820-1,11,10,11,11
JVCI|rna_AFUA_3G02830-1,1015,898,723,733
JVCI|rna_AFUA_3G02840-1,25,17,12,12
JVCI|rna_AFUA_3G02870-1,186,189,230,199
JVCI|rna_AFUA_3G02880-1,8,5,5,4
MSTRG.3392.1,714,683,496,466
JVCI|rna_AFUA_3G02890-1,0,0,3,0
JVCI|rna_AFUA_3G02930-1,50,36,39,48
JVCI|rna_AFUA_3G02900-1,0,0,21,0
MSTRG.3394.1,45,33,33,46
JVCI|rna_AFUA_3G02910-1,44,52,64,59
JVCI|rna_AFUA_3G02920-1,27,48,22,26
JVCI|rna_AFUA_3G02950-1,0,0,0,0
JVCI|rna_AFUA_3G02940-1,142,137,208,187
MSTRG.3398.2,82,70,135,119
JVCI|rna_AFUA_3G02960-1,20,25,22,25
JVCI|rna_AFUA_3G02980-1,75,76,140,111
JVCI|rna_AFUA_3G02970-1,8,7,16,17
MSTRG.3400.1,656,627,1196,1173
JVCI|rna_AFUA_3G03000-1,0,0,0,0
JVCI|rna_AFUA_3G03010-1,0,0,0,0
JVCI|rna_AFUA_3G02990-1,5,0,6,8
MSTRG.3402.1,59,65,80,82
JVCI|rna_AFUA_3G03020-1,0,0,0,0
MSTRG.3403.1,377,342,316,276
JVCI|rna_AFUA_3G03030-1,142,159,154,158
JVCI|rna_AFUA_3G03040-1,393,359,24,29
MSTRG.3406.1,111,110,8,13
JVCI|rna_AFUA_3G03070-1,3,5,0,2
JVCI|rna_AFUA_3G03065-1,1,1,1,1
JVCI|rna_AFUA_3G03080-1,11,9,11,16
JVCI|rna_AFUA_3G03050-1,6,0,16,21
MSTRG.3407.1,1653,1541,104,55
JVCI|rna_AFUA_3G03060-1,705,579,0,26
MSTRG.3409.1,1223,1021,50,47
MSTRG.3412.2,0,0,0,128
MSTRG.3412.1,153,114,130,0
MSTRG.3410.1,21,29,17,16
MSTRG.3411.1,27,21,22,23
MSTRG.3416.3,0,44,31,3
MSTRG.3416.4,0,0,0,30
JVCI|rna_AFUA_3G03130-1,29,7,0,2
MSTRG.3416.2,54,6,4,1
JVCI|rna_AFUA_3G03190-1,3,5,6,7
JVCI|rna_AFUA_3G03200-1,3,0,0,0
JVCI|rna_AFUA_3G03140-1,135,126,102,102
JVCI|rna_AFUA_3G03210-1,13,8,3,5
JVCI|rna_AFUA_3G03240-1,53,50,27,26
JVCI|rna_AFUA_3G03230-1,0,49,7,0
JVCI|rna_AFUA_3G03220-1,48,48,8,9
MSTRG.3417.1,714,619,429,493
JVCI|rna_AFUA_3G03250-1,0,0,0,0
MSTRG.3418.1,147,121,97,79
MSTRG.3419.1,365,342,632,706
MSTRG.3421.3,0,0,14,0
JVCI|rna_AFUA_3G03270-1,0,0,0,0
MSTRG.3421.2,64,0,1,51
MSTRG.3421.1,53,116,62,24
JVCI|rna_AFUA_3G03280-1,411,433,281,299
JVCI|rna_AFUA_3G03295-1,4,6,4,7
JVCI|rna_AFUA_3G03300-1,4,5,3,3
MSTRG.3422.1,608,545,243,266
JVCI|rna_AFUA_3G03290-1,4,100,7,8
JVCI|rna_AFUA_3G03310-1,3,5,0,0
JVCI|rna_AFUA_3G03315-1,45,29,19,33
MSTRG.3426.1,571,779,0,84
MSTRG.3426.2,180,1009,343,575
JVCI|rna_AFUA_3G03320-1,2044,835,1013,636
JVCI|rna_AFUA_3G03330-1,2672,2328,985,899
JVCI|rna_AFUA_3G03410-1,0,0,0,0
JVCI|rna_AFUA_3G03390-1,2,0,6,9
JVCI|rna_AFUA_3G03420-1,3,5,16,11
JVCI|rna_AFUA_3G03430-1,0,5,13,16
JVCI|rna_AFUA_3G03440-1,17,20,50,46
JVCI|rna_AFUA_3G03445-1,10,12,19,25
JVCI|rna_AFUA_3G03450-1,5,3,7,7
JVCI|rna_AFUA_3G03460-1,15,10,15,23
JVCI|rna_AFUA_3G03350-1,1852,2038,369,369
JVCI|rna_AFUA_3G03370-1,523,437,429,373
JVCI|rna_AFUA_3G03490-1,3,4,3,5
JVCI|rna_AFUA_3G03500-1,8,6,9,0
JVCI|rna_AFUA_3G03510-1,6,5,8,4
MSTRG.3430.1,110,81,5,7
MSTRG.3430.2,788,743,84,83
MSTRG.3431.1,196,205,163,187
JVCI|rna_AFUA_3G03530-1,3,0,0,0
JVCI|rna_AFUA_3G03520-1,125,144,79,108
JVCI|rna_AFUA_3G03540-1,0,0,0,0
JVCI|rna_AFUA_3G03550-1,23,23,9,8
MSTRG.3434.1,4,6,0,0
JVCI|rna_AFUA_3G03580-1,0,0,0,0
MSTRG.3435.1,283,269,39,0
JVCI|rna_AFUA_3G03560-1,108,107,2,39
JVCI|rna_AFUA_3G03570-1,92,121,7,11
MSTRG.3438.1,284,288,44,37
JVCI|rna_AFUA_3G03640-1,3,0,0,0
JVCI|rna_AFUA_3G03660-1,0,0,0,0
JVCI|rna_AFUA_3G03630-1,0,0,0,0
MSTRG.3442.1,233,191,307,305
JVCI|rna_AFUA_3G03635-1,1,0,2,0
JVCI|rna_AFUA_3G03680-1,1,2,4,0
JVCI|rna_AFUA_3G03670-1,7,3,4,0
MSTRG.3444.1,29,21,11,10
MSTRG.3448.2,0,130,0,2
JVCI|rna_AFUA_3G03700-1,199,48,99,102
JVCI|rna_AFUA_3G03710-1,20,25,18,18
JVCI|rna_AFUA_3G03720-1,41,43,41,45
MSTRG.3439.3,0,0,0,10
JVCI|rna_AFUA_3G03590-1,2,1,2,3
JVCI|rna_AFUA_3G03600-1,84,91,145,137
MSTRG.3439.1,47,37,44,30
MSTRG.3439.2,33,32,17,21
MSTRG.3440.1,2221,1873,706,1035
JVCI|rna_AFUA_3G03610-1,275,464,596,353
MSTRG.3441.1,3033,3299,2702,2854
JVCI|rna_AFUA_3G03620-1,41,21,0,15
MSTRG.3447.1,12,17,6,11
MSTRG.3449.1,804,693,537,532
JVCI|rna_AFUA_3G03750-1,0,31,0,0
MSTRG.3453.1,1616,1504,1784,1737
JVCI|rna_AFUA_3G03740-1,5,5,3,3
MSTRG.3454.3,73,0,0,105
MSTRG.3454.2,70,107,377,285
MSTRG.3455.1,47,40,30,45
MSTRG.3451.2,0,168,0,0
JVCI|rna_AFUA_3G03760-1,0,0,0,0
MSTRG.3450.1,948,858,1294,1317
MSTRG.3451.1,742,562,933,976
MSTRG.3452.1,163,159,135,135
MSTRG.3456.1,88,56,38,48
MSTRG.3457.1,0,0,34,0
MSTRG.3458.1,205,172,211,212
JVCI|rna_AFUA_3G03780-1,5,7,7,11
JVCI|rna_AFUA_3G03790-1,0,0,0,0
MSTRG.3460.3,0,4,0,0
MSTRG.3460.1,39,49,155,185
JVCI|rna_AFUA_3G03810-1,0,0,0,0
JVCI|rna_AFUA_3G03815-1,0,0,16,0
MSTRG.3459.1,25,31,154,160
JVCI|rna_AFUA_3G03820-1,33,44,36,37
MSTRG.3461.2,4,6,0,0
JVCI|rna_AFUA_3G03860-1,15,15,5,8
JVCI|rna_AFUA_3G03870-1,2,0,4,0
JVCI|rna_AFUA_3G03880-1,3,0,0,0
JVCI|rna_AFUA_3G03890-1,2,0,0,0
JVCI|rna_AFUA_3G03852-1,77,62,77,84
JVCI|rna_AFUA_3G03900-1,124,138,63,72
MSTRG.3469.1,144,0,0,0
MSTRG.3469.2,333,465,350,355
JVCI|rna_AFUA_3G03910-1,60,0,0,0
JVCI|rna_AFUA_3G03920-1,48,49,18,22
JVCI|rna_AFUA_3G03950-1,14,16,47,60
JVCI|rna_AFUA_3G03960-1,15,11,43,50
JVCI|rna_AFUA_3G03970-1,14,19,13,9
JVCI|rna_AFUA_3G03930-1,0,334,546,485
JVCI|rna_AFUA_3G03940-1,0,0,0,0
MSTRG.3467.2,371,2,13,95
MSTRG.3468.1,151,127,60,55
MSTRG.3468.2,4,2,0,3
JVCI|rna_AFUA_3G03980-1,15,15,39,47
JVCI|rna_AFUA_3G03990-1,20,22,12,15
MSTRG.3474.2,0,0,0,7
JVCI|rna_AFUA_3G04010-1,0,0,0,0
MSTRG.3474.4,0,2,0,0
JVCI|rna_AFUA_3G04000-1,63,60,34,178
MSTRG.3473.2,186,176,188,73
